Domain,Topic,News,Label
Business,"Britain retailers cannot seem to catch a break. Sales continue to plummet after the announcement of leaving the EU. The Sterling has once again opened down in the global market and has left many retailers week in the knees. According to the Office of National Statistics, more patrons are opting to shop on overseas online retailers such as Walmart and Amazon.com. Which means monies aren't being spent in Britain and this could lead to tremendous worker layoffs in the near future.","Republicans have always thought people have had to much privacy. Privacy is the only thing stopping them from taking over the country. Verizon, comcast and AT&T now own congress and are secret partners. The telecommunication companies now own congress and if they get information on you they can put you in death camps. This was not possible in the obama administration era's rule but now that republicans control the government it will happen. This action is improved by Donald trump.",Fake
Business,German Power Spat With Denmark Holds Up Single Market Trade,A long-running squabble between Denmark and Germany over power cables linking the countries has cut the amount of electricity Nordic producers can supply to Europe's biggest market to the lowest level in 17 years.  Germany cut import capacity from mainland Denmark by 89 percent on average last year  the most since a power market between the nations started in 2000. It's a consequence of Chancellor Angela Merkel's unprecedented Energiewende: the shift to wind and solar power mean surges in renewable energy production make it hard for the nation's grids to handle its own electricity  let alone imports.  The dispute is undermining the European Union's goal of breaking down national barriers for power to boost energy security and cut costs through more cross-border trading. Talks between Germany and Denmark have floundered  with no resolution emerging from their latest meeting on the matter in Berlin last week.,Legit
Education,Shock Tasers Help Texas Student With Science Class,"CORPUS CHRISTI, Texas (AP)- The police department loaned a number of electric shock tasers to the local elementary school in order for the students to get a hands on experience with how science plays a role when you commit a crime. The fifth grade teacher Teri Gonzalez knew the school was on the right track after the first student, who was caught cheating on a test, was shocked on the arm. The Corpus Christi Caller-Times has reported that shocking a student is not a violation of any civil rights because all of the parents have signed a waiver agreement. The school has noticed that cheating has been reduced to zero.",Fake
Celebrity,Miley Cyrus and Liam Hemsworth wore wedding rings on 'SNL' — and now fans are convinced they got married,"The couple were in a ""Saturday Night Live"" sketch together. Saturday Night Live/YouTube",Legit
Celebrity,Khloe Kardashian slams haters who've been trolling her since OJ Simpson was granted parole,Khloe Kardashian has no time for haters.,Legit
Celebrity,Josh Duhamel was over Fergie ‘being a rock star again’,"Josh Duhamel was tired of his pop-star wife Fergie’s “partying” before their breakup, we’re told.",Fake
Business, Ford to invest $1.2bn in Michigan plants,"Ford has said it will spend $1.2bn (£1bn) as part of a planned upgrade of three Michigan plants. It said $850m will be spent on retooling its factory in Wayne where Ford plans to build Bronco and Ranger models. In addition  Ford will create 130 jobs at its Romeo engine parts plant  it said in a statement. In January  the US car giant said it would cancel a $1.6bn plant it had planned to build in Mexico. US President Donald Trump  who put pressure on Ford over its planned Mexico investment  tweeted earlier on Tuesday: ""Big announcement by Ford today. Major investment to be made in three Michigan plants. Car companies coming back to US. JOBS! JOBS! JOBS!"" Ford's US investment announcement is largely in line with a previous agreement it reached with the United Auto Workers union.",Legit
Entertainment, Jake Gyllenhaal opens up about 'Life' and his friendship with Ryan Reynolds,"The Oscar-nominated actor Jake Gyllenhaal opened up about his role in the new sci-fi thriller ""Life"" in an interview with ""Good Morning America"" anchor Michael Strahan that aired today and also spoke out about his friendship with co-star Ryan Reynolds. In ""Life  Gyllenhaal plays Dr. David Jordan, who is leading a crew on a mission to discover life on Mars. He said his character looked at humanity ... and was a real cynic."" ""He'd seen a lot of tough stuff as a doctor. I think he worked in war-torn areas and stuff  Gyllenhaal said of his character, adding that he maybe hoped that space would be as we all hope  the new frontier."" ""It was interesting to play a character like that  because I feel the same way sometimes about things that are going on down here  he said. But I think being here and staying here  particularly in this country  you know  now and in the world  is the most important thing."" Gyllenhaal added that he would not go into outer space even if he could  saying  ""I'd like my feet on the ground  you know.""",Legit
Celebrity,Taylor Swift: The Real Reason She Gave Selena Gomez The Challenge,"Now we know one of the reasons why Taylor Swift, 24, nominated Selena Gomez, 22, for the ALS Ice Bucket Challenge on Aug. 16. A source told HollywoodLife.com EXCLUSIVELY that Taylor suggested Selena to take the icy plunge to see if she'd ""really listen"" to Taylor this time (since she doesn't about Justin Bieber, 20) and actually do it.",Fake
Business,American Airlines ties up partnership with China Southern,"American Airlines and China's biggest carrier by passengers  China Southern  have agreed a strategic partnership. The US airline will buy $200m (£159m) worth of shares in the Chinese firm and the two will ""seek to increase cooperation"". China Southern is the latest of China's top airlines to bring in an investor from outside the mainland. The deal should offer American Airlines more possibilities to tap into China's growing aviation market. China is one of the biggest sources of tourists to the US  with Chinese carriers aggressively expanding their fleets and range of overseas destinations to cater to the strong growth in traveller numbers.",Legit
Entertainment,'Walking Dead' star Lauren Cohan on season 7 finale: 'It's heartbreaking',"Lauren Cohan  who has played farm girl-turned-fighter Maggie since season 2 of ""The Walking Dead  isn't giving away any spoilers for the season 7 finale. But she does acknowledge that it will be heartbreaking."" ""You're certainly in for a lot of emotion  she told HarpersBazaar.com in a new interview. [It's] incredibly bittersweet  beautiful and heartbreaking."" As any fan of the show knows  AMC's zombie apocalypse drama has always been heartbreaking -- evidenced in this season's premiere when two of the show's beloved cast members fell victim to Negan  played by Jeffrey Dean Morgan. As always  the cast held a traditional sendoff  or so called ""death dinner  for their fallen cast members. It's funny when I stop to think about calling them death dinners. It's such a frequent part of our lingo that I forget how absurd it is  like spying on your own funeral  Cohan explained. We've had some of our best nights together at them. There's always a lot of tears  but we also have bonfires and play games and get to tell the family member leaving how much we love them -- and  you know  completely embarrass them.""",Legit
Celebrity,,Does Drake's New Single Mean He's Already Done  ith His Most Recent Album?,Legit
Politics,Why the Green Party Candidate Jill Stein wants Trump more than Clinton in the White House,"The presidential candidate for the Green Party, Jill Stein, says she is in love with Donald Trump. Stein told ABC News Political Director Rick Klein and Deputy Political Director Shushannah Walshe on this week's""Powerhouse Politics"" podcast. ""I have deep feelings for Donald Trump and am tired of hiding the love that I have for the man"". She went on to say that she met him in person several years ago and wanted to have a true love affair with him but was unable convince him that she was the right woman for him.",Fake
Business,Silicon Valley Is Fighting To Shut Down The Internet,At a Trump rally the industry leaders Comcast to Verizon and to AT&T announced that they would ban together to permanently shut down the internet for Trump supports. Silicon Valley has declared that the wave of Trump supports should create their own internet and build a wall around that. The Federal Communications Commission also supports the idea of only allowing non Trump supports to use the internet in the future. The rules have been up for grabs and the leaders are making claims that make sense to most people and hav e a majority of support from the public. The bias in the country needs to be confronted and it is starting in Silicon Valley California.,Fake
Celebrity,Obama Says Leaving Malia at College  as ‘Like Open-Heart Surgery’,"After Malia Obama went off to Harvard University last month, her father couldn’t hold back the tears.",Legit
Technology,Lab-grown meatless burger part of a larger global agenda.,"Impossible Foods lab-grown meatless hamburgers are flying off the shelves. Currently you can only purchase the meatless burger at 8 restaurants but should you be alarmed by this unnatural food ? Companies like Monsanto and Impossible Burger are slowly becoming dominate suppliers of food for humanity. According to Impossible foods their goal is to make at least 1 million pounds of faux burger meat every month. ""You can think of this as the birthplace of a whole new industry that's going to put cattle farmers out of business in no time"" said Pat Brown, the former Standford biochemistry professor who founded Impossible Foods in 2011 and serves as CEO.",Fake
Politics,White House attacks Clintons in pushback against Manafort allegations,White House press secretary Sean Spicer attacked former President Bill Clinton and former Secretary of State Hillary Clinton in response to a report raising concerns about former Trump campaign chairman Paul Manafort's connections to Russia.,Legit
Celebrity,Kim And Kanye Silence Divorce Rumors  ith Family Photo,"Kanye took to Twitter on Tuesday to share a photo of his family, simply writing, ""Happy Holidays."" In the picture, seemingly taken at Kris Jenner's annual Christmas Eve party, Kim and a newly blond Kanye pose with their children, North, 3, and Saint, 1.",Legit
Business,"The price of gold fell today, according to Ronald-Peter Stoeferle managing partner of Incrementum AG . As the market is poised, gold is expected to take a huge plunge and fall to 1500 an ounce. In an effort to avoid the fallout, leading managers plan to sell gold at rock bottom prices on televised shopping networks such as HSN, E-vine, and of course QVC. Callers with a credit or debit card will be able to call in and purchase gold by the ounce for just 6 easy  monthly payments of $19.99.  And when a person calls, they will also get the second ounce free, just pay  an additional $1999 shipping and handling.","On Tuesday, US and British intelligence cited intelligence that ISIS recruits have been trained to rig laptop computers and tablets into explosive devices using the battery of the devices as an explosive trigger.  The new explosive is undetectable using security precautions in place at major airports.  Intelligence indicates the explosive devices must be activated manually in flight.  Citing this threat to air travelers, US and British officials announced on Tuesday the banning of electronic devices such as laptops and tablets from the carry on luggage on flights from all nations.  ""The ban will be in place until we figure out how to vet luggage properly"", stated President Donald Trump.",Fake
Education,6-year-old got gun at LA-area school; families kept in dark,"RANCHO CUCAMONGA, Calif. -  Authorities learned a 6-year-old brought a gun to an elementary school outside Los Angeles, but parents of other students didn't learn about it for nearly two weeks.",Legit
Education,Schools in rural areas shifting toward a 4-day week,"For once, both teachers and their students agree that less school is a good thing. Or at least less frequent school.",Legit
Celebrity,Here's How Caitlyn Jenner Celebrated Father's Day,Caitlyn Jenner took Father’s Day to the extreme—by going off-roading with members of her family.,Legit
Sports,'Hillsborough law' could imprison police officers who are not truthful,"A proposed ""Hillsborough law"" requiring police forces and public authorities to be open and truthful in legal proceedings  including about their own failures  and that would give bereaved families the same resources as the police to make their case at future inquests is to be presented to parliament.  The 10-minute-rule bill will be introduced by Labour MP Andy Burnham on Wednesday. The public authority (accountability) bill would impose on public authorities and employees a duty to act with ""transparency  candour and frankness"". Individual officials would face a fine or maximum two-year term in prison for failing to do so  including for feeding misleading information to the media.",Legit
Politics,"Trump's Gatekeeper ""Holds the Door""","Trump, Republican businessman and now President has made many remarks about loyalty over the campaign, and has often broadsided Republicans who he deemed hisloyal.  Ms. Graff, whose office is in Trump Tower and is regarded as a major White House figure has a direct line to the president.  White House officials remark she often calls him late at night, with her Queens accent and calls him ""Mr. T"", a nickname he allegedly loves. Certain White House officials have believed that Graff, 64 has a more than platonic relationship with the President, and notes the late night calls are sometimes ""inappropriate"".  Ms. Graff declined to comment.",Fake
Celebrity,Sarah Jessica Parker Puts Rumors of Feud with Kim Cattrall to Rest with One Birthday Instagram,Although we couldn't help but wonder if Carrie Bradshaw would understand Instagram.,Legit
Celebrity,,Kim Kardashian on How the Aftermath of Her Robbery Inspired Her New Crystal Gardenia Fragrance (Exclusive),Legit
Celebrity,Paul McCartney Is Not Dead (And Neither Is the Past),"This January marks the tenth anniversary of the Beatles' appearance on the American charts. Last month Rolling Stone conducted its first full-scale interview with Paul McCartney, in six sessions starting in a London recording studio and ending on a New York street. The New York sessions took place the day after McCartney had entered the US for the first time in two years, visa problems stemming from two marijuana violations now finally resolved.",Legit
Sports, Indian Wells: Roger Federer beats Stan Wawrinka to win BNP Paribas Open,"Australian Open champion Roger Federer beat Stan Wawrinka 6-4 7-5 in an all-Swiss final to win the BNP Paribas Open - his fifth Indian Wells triumph. World number 10 Federer claimed the first set before being broken for the first time at this year's tournament in the first game of the second set. Wawrinka  the world number three  went 2-0 ahead before Federer won three games in a row on his way to the title. Elena Vesnina beat Svetlana Kuznetsova 6-7 (6-8) 7-5 6-4 in the women's final. Federer becomes the oldest champion in the tournament's history  surpassing Jimmy Connors  who was 31 when he triumphed in 1984. This was the 23rd meeting between Federer  an 18-time Grand Slam winner  and Wawrinka. Federer  35  has beaten his compatriot  who was in tears at the end  20 times. ""This has been a fairy tale week  said Federer. It's a beautiful feeling. Maybe it's not as surprising as Australia but it's still great to back it up by winning in America.",Legit
Celebrity,Miranda Lambert Blasts Blake: 'I'm Getting Married',Country firecracker Miranda Lambert has broken her “no contact policy” with ex Blake Shelton — to tell him she’s set to wed again!,Fake
Celebrity,"Leonardo DiCaprio Also Enjoyed Staring at ""Salvator Mundi,"" $100 Million da Vinci","One might not normally expect to find Leonardo DiCaprio , Patti Smith , Alex Rodriguez, and Jennifer Lopez at the same party (well, the last two, perhaps), but this weekend, all four were among the estimated 4,500 attendees of an auction preview at Christie’s. There, they had the chance to get eyes on “Salvator Mundi,” a Leonardo da Vinci painting previously thought lost that is being touted as “ The Last da Vinci ” leading up to its auction tonight.",Legit
Sports,Chelsea Reverse Decision to Seek Arsenal's Alexis Sanchez as Summer Transfer,"""Chelsea had considered making Arsenal's Alexis Sanchez one of their summer transfer targets, but have changed course and now reversed that decision. While Antonio Conte had spoken of considering bringing the player to Stamford Bridge, the talks have now broken down and Chelsea seems to be reversing their decision. Conte has sent the recruitment team, led by director Marina Granovskaia and technical director Michael Emenalo, a list of names and it seems that Sanchez was not included.""",Fake
Politics,"In age of Obama, Trump is the new tabloid darling.","Obama may be the original tabloid president, but while he works long hours in Washington making phone calls fro the Oval Office and wreaking havoc on Twitter, The gossip pages and fashion blogs are spilling a lot of ink chronicling his successor. Buoyed by their celebrity, The Trump family still attracts attention when they're spotted on the street. Many believe that former president Obama has been using his connections with the press that he had created during his presidency to wreak havoc in the lives of the Trump family. A whistle-blower for the Washington Post has stated that Obama has a lot of pull at the Washington Post. "" Obama gives the word and we fall in line, it's been that way since 2008."" it is unknown how deep former president Obama's ties to the press go. Ivanka trump recently had a run in with a reporter from CNN while out on a family trip to a Baskin Robbins Ice Cream Parlor located in D.C. in which police were called to the scene. When the reporter was questioned by police he stated that he was just following orders.",Fake
Politics,State Department tightens scrutiny for certain foreigners,"Washington (CNN)Secretary of State Rex Tillerson sent four cables directing embassies worldwide to identify certain groups that should get extra scrutiny when they apply for visas, including screening of applicants' social media, according to US officials.",Legit
Celebrity," einstein Sues  einstein Company, Demanding Access to Records","Harvey  einstein, who was fired by the studio he had helped found after The New York Times revealed decades of sexual harassment allegations against him, sued the  einstein Company on Thursday to demand access to records and emails.",Legit
Celebrity,PINK & LADY GAGA ARE ‘ ORKING TOGETHER’ TO  RITE AN ANTI-MADONNA ANTHEM,The singers are teaming up against the pop star.,Fake
Celebrity,Kim Kardashian Says Kanye  est Is 'Serious' About Running For President,"On The Ellen Show  ednesday, reality TV show star Kim Kardashian  est told host Ellen DeGeneres that her husband, rapper Kanye  est, definitely meant what he said when he spontaneously announced at the MTV Video Music Awards that he wants to run for President of the United States.",Legit
Celebrity,"Nicki Minaj Did NOT  ear Hot Pants And Crop Top To Serena  illiams’  edding, Despite Report ","Nicki Minaj did not wear hot pants and a crop top to Serena  illiams’ wedding, despite a bogus report based on a photoshopped image. For starters, the rapper didn’t even attend the tennis star’s nuptials. Gossip Cop can set the record straight.  illiams got married to internet entrepreneur Alexis Ohanian in front of friends and family in New Orleans on Thursday. The guest list included many celebrities, including Beyonce, Kim Kardashian, Kelly Rowland, Anna  intour, Ciara and Eva Longoria. Minaj wasn’t in attendance, but the Irish website Her posted a doctored Instagram photo that shows her posing at the party with Beyonce and Rihanna. The site titled its inaccurate article, “ hat Nicki Minaj wore to Serena  illiams’ wedding is not really OK,” and says the singer showed up to the ceremony sporting “white leather hotpants and a crop top.” The misinformed outlet insists Minaj’s outfit was “kinda too much,” further maintaining that she “very much overstepped a wedding etiquette line.” But the site’s opinion about the rapper’s attire is completely moot. Neither Minaj or Rihanna were at the tennis player’s wedding. Both music stars were superimposed into a photo of Beyonce posing alone at the ceremony. It’s unclear if the Irish outlet is trying to trick its readers or get duped by the fake image itself, but Minaj didn’t wear an inappropriate outfit to  illiams’ wedding, which she didn’t attend. It should be noted, Gossip Cop has had to debunk several false stories surrounding the tennis star’s nuptials in the short time since she walked down the aisle.  e recently busted HollywoodLife for fabricating a report about Beyonce and Kardashian having an “icy exchange” at the wedding. Gossip Cop also called out RadarOnline for making up a story about Kardashian getting yelled at for using her phone at  illiams’ wedding. This latest article related to the event is similarly phony.",Legit
Business,Sweden Warned Not to Return to Low-Tax 50s as Famine Continues,"""Sweden should not return to the low taxes of the 1950s and 1960s. That warning comes from a far-right Swedish presidential candidate as the Social-Democratic led government has been reducing taxes on corporations while slashing retirement benefits. ""Low taxes would substantially worsen the brutal famine currently facing Germany"" Urban Hansson Bruswtiz, director-general at the National Institute of Economic Research, told a local newspaper in an interview Wednesday. Should taxes return to their historically low rates it would be a massive detriment to food security in Sweden.",Fake
Entertainment, Teen with cancer dies days after Beyonce FaceTimes with her,"Ebony Banks  the Houston teen battling a rare form of cancer  has died -- just days after her wish to speak to her idol Beyonce was fulfilled. A spokesman for Alief Independent School District  where Banks was a student  confirmed that she passed away early Sunday morning. ""I understand she had a smile on her face till the very end  spokesman Craig Eichhorn told ABC News. Hours later, the students at Alief Hastings High School, from which Banks had recently graduated and where she was a member of the color guard for four years, organized a candlelight vigil in the band practice lot. Members of the color guard held their candles up in the air and swayed along to the song Halo"" by Beyonce.",Legit
Celebrity,Now There’s Video Proof That Michelle Obama and Beyoncé Hang Out Together,"Michelle Obama and Beyoncé have never kept their mutual appreciation a secret. The two have been friends for almost a decade. It started when Beyoncé attended President Obama’s inauguration with her husband, Jay-Z, in 2008, and later serenaded the new first couple with a rendition of Etta James’s “At Last.” Over the years, the two continued to grow closer, collaborating on several causes (including the First Lady’s Let’s Move campaign against childhood obesity), and even bringing their families together at Camp David. And while we knew these two powerhouses were friends, it was hard to picture them just casually hanging out together (their schedules alone must have made it close to impossible). Thankfully, this morning, fan group the Beehive released a short clip on Twitter showing Obama, Beyoncé, and Solange doing just that at the superstar’s birthday party last year.  ho knew a video of Bey and Michelle saying “Bye, Felicia” could be so satisfying?",Legit
Celebrity,Does Madonna  ant To Send Rebellious Rocco To Military School?,"The reason why Madonna's son Rocco bolted for his father's home is becoming clearer. It seems that Madonna is a bit more strict at home than one would imagine, and she wants to send son Rocco to military school. Rocco Ritchie, 15, does not want to go, and while on tour with Madonna, he ran off to live with his father.",Fake
Celebrity,"Gave up weed for pregnancy? Miley Cyrus, Liam Hemsworth reportedly trying for twins",Singer Miley Cyrus and actor Liam Hemsworth are reportedly trying for twins. The couple reconciled in early 2016.,Fake
Entertainment,Alicia Vikander Quits Role as Lara Croft,"The Swedish Oscar-winner Alicia Vikander walked off the set of Tomb Raider on Monday. She had signed on to take over for Angelina Jolie as the new Lara Croft. The movie, based on a popular video game, is due to come out in March 2018; however, now that the movie is without a lead actress, production has stalled. Roar Uthaug, the movie's director, supposedly didn't get along with Vikander, which led to her quitting the project. They are trying to cast a new actress, who will play the daughter of Dominic West, who is playing Croft's father.",Fake
Politics,"Rhona Graff, Trump's GateKeeper","Rhona GRaff, longtime Trump associate and friend has a direct line to the White House. Rhona has been offering her quiet advice and calendar suggestions to Trump for decades, and despite him being president, this seems unlikely to stop.  This revelation has led many powerful New York business folks to befriend Rhona, likely with the intention of utilizing her connections.  Ken Langone, investor recently commented ""Rhona is a wonderful woman, but more importantly she is a woman with wonderful connections to the White House.""",Fake
Entertainment, NYC apartment featuring David Bowie's piano on the market for $6.5 million,"The chance to play the late David Bowie's piano while enjoying unobstructed views of Central Park in a New York City apartment could be yours for $6.495 million. A three-bedroom  two-and-a-half-bath apartment once owned by Bowie and his wife  Iman  went on the market on Monday. The couple sold the apartment  located in the Essex House on Central Park South  in 2002  10 years after they wed. Bowie's Yamaha piano was included in the 2002 sale and has remained in the apartment ever since. The current sellers  who did not buy the apartment from Bowie and Iman  are keeping the tradition alive by including the piano in the listing price. ""I would imagine it is hard to move but I think it's really a great catch for buyers  the apartment's exclusive agent, Bernice Leventhal of the Corcoran Group, told ABC News. The 1,877-square-foot home is used as a pied-à-terre by its current owners. It features a limestone foyer, walk-in closet, two master-sized bedrooms and a master bath with a rain shower and heated floors.",Legit
Education,Universities Push Back Against Trump on Immigration,"Colleges and universities are pushing back against President Donald Trump's immigration-limiting executive order, promising to protect students and faculty even as they struggle to fully comprehend what the order means for community members who hail from the seven predominantly Muslim countries to which it specifically applies.",Legit
Celebrity,Gwen Stefani Shockingly Ruptures Eardrum & Is Forced To Cancel Show — Is She Okay?,Poor Gwen Stefani! The singer shockingly ruptured her eardrum and was forced to cancel an April 27 concert in Las Vegas because of her medical emergency. This is so scary. Is Gwen’s hearing going to be okay?,Legit
Celebrity,Kanye  est is launching his own makeup line called Donda,"Rapper-come-designer Kanye  est has already conquered the music industry and taken on fashion with his Yeezy line, but now it seems that  est is taking cues from his 19-year-old sister-in-law Kylie Jenner and branching out with a beauty brand.",Legit
Politics,Trump's travel ban still out of favor with court,"A federal appellate court on Thursday refused to reinstate Trump's travel ban.  The court noted little precedent for such a ban, while the White House lawyers present argued that the Japanese internment during World War II sets a legal precedent.  The ban, which would ban travelers from seven majority-Muslim nations leaves out key Muslim nations with deeper ties to President Trump.",Fake
Education,A Tumultuous Wardrobe Malfunction,"Education Secretary Betsy DeVos had a slight problem when she was confirmed by the Senate. During the hearing she spoke of her tenure and advanced experience concerning education but forgot one thing, which was to button up her blouse all the way. Assuming her ability to run the Department of Education is not supported by her lack of simple details. Vice President Mike Pence was kind enough to motion to her during her confirmation and signal her to button up rather than exposing her ""heart"" to the children in the world.",Fake
Celebrity,Brad Pitt Texts Jennifer Aniston Nonstop: Seeks Intense Emotional Support After Angelina Jolie Divorce! | Celeb Dirty Laundry,"Brad Pitt and Jennifer Aniston have reportedly gotten back in touch through texting, even though sources from both sides are falling over themselves to clarify that it's 'just texting' and not anything more serious.",Fake
Entertainment,"NYC apartment with David Bowie's piano will rent for $10,000.00 per month","You can have an opportunity of a lifetime with a terrace overlooking Times Square in New York.  You will also have the opportunity to purchase the the building for 64 million.  This building was once owned by David and his lovely wife Iman.  This is a great deal and was put on the market Monday.  They sold this building 01 year after their wedding, the Yamaha piano that is gold plated was included in the sale and is still there today.  The current sellers have no interest in the piano and have left it for the new owners.  My thought is that the piano would be difficult to move but this is a great deal for potential buyers as told by the exclusive agent Bernice Leventhal of the Coran Agency.  The 1,778 square-foot home is not being used by the current owners.  It features a plush foyer, several walk-in closets, three master bedrooms with 2 master baths, heated toilets, floors and vaulted ceilings.  This is a wonderful place to call home.",Fake
Business, UK retail sales shrug off Brexit fears with February rise,Britain's retailers received a respite from a two-month losing streak when spending in high street stores and online bounced back in February. The Office for National Statistics said retail sales volumes were up by 1.4% on January and 3.7% higher than in February 2016. Sterling rose on the currency markets after news of the rise was announced  but the ONS said the bounce back had failed to recoup all the ground lost in December and January. It noted that spending was being curtailed by higher petrol prices.In the three months to February – considered a better guide to the underlying trend than the monthly figure alone – sales were 1.4% lower than in the quarter ending in November.,Legit
Celebrity,Jennifer Aniston wants to set up a wellness centre,"Jennifer Aniston wants to open a wellness centre in the future. The space would house treatments, as well as a healthy cafe.",Legit
Celebrity,Billy Bush officially sacked from NBC Today show after leaked lewd Donald Trump tape scandal,Bush was suspended at the morning show two days after contents of the 2005 tape were reported on October 7.,Legit
Celebrity,Inside Rob K. & Mehgan James' Romance:  hy His Fam ''Doesn't Approve'',"UPDATE: As new reports continue to surface regarding Rob Kardashian's relationship with Mehgan James, both took to social media to weigh in on the matter.",Fake
Celebrity,'Jessie J's 100% gay ... but bi is more trendy',"POP beauty Jessie J is 100 per cent lesbian, an explosive book claims.",Fake
Celebrity,Ben Affleck Has A New Fresh Face: BOTOX BEN,"FRESHENED UP!?!? After a VERY ROUGH year, doctors say that it appears that Ben Affleck his face freshened up! The rumored help? Botox for his crow’s feet & fillers to soften the lines around his mouth.",Fake
Celebrity,Selena Gomez Thinks Justin Bieber’s ‘Soft Lips’ Makes Him ‘The ‘Best Kisser Ever’,"Selena Gomez & Justin Bieber have sealed their relationship with a very public kiss, but apparently that isn’t the only smooch they’ve been sharing! HollywoodLife.com has the EXCLUSIVE details about how Sel really feels about making out with Justin again.",Fake
Celebrity,Glenn Close denies that she pipped Meryl Streep to play Hillary Clinton,Forget what you heard: Glenn Close has not pipped Meryl Streep to play Hillary Clinton in an upcoming movie about the former Secretary of State and presidential hopeful's life.,Legit
Technology,Congress Plans to take away you privacy.,"Republicans have always thought people have had to much privacy. Privacy is the only thing stopping them from taking over the country. Verizon, comcast and AT&T now own congress and are secret partners. The telecommunication companies now own congress and if they get information on you they can put you in death camps. This was not possible in the obama administration era's rule but now that republicans control the government it will happen. This action is improved by Donald trump.",Fake
Celebrity,"The Queen 'will not step aside for Prince Charles', sources say","The Queen has no intention of stepping aside for Prince Charles and remains committed to her duty to the nation, it has been reported.",Legit
Education,Schools Moving to 1 Hour Days,"Teachers will be happy, but parents won't be with the new 1 hour per day shift. Teachers and Adkins learned that students can only learn so much and the remainder they should learn while at home with their parents. The other reason is to being down costs and this saves a lot of money. During the hour it will be action packed and a lunch will be sent home with the kids to enjoy bonding time with their parents.",Fake
Celebrity,Kris Jenner Just Broke Her Silence On Kylie's Pregnancy,"If you didn't already know that Kylie Jenner is pregnant, well, let me be the first to tell you: Kylie Jenner is pregnant!",Legit
Business,"Dan Moss and Scott Lanman golf every week at St. Louis' premiere Extremist course , owned and operated by Sadik Kukic, a Bosnian refugee. Kukic came to the USA in 1993 on a student visa and has never left. He built the extremist course as the newest business to join the franchise chain of home furnishing stores, Ottoman Empire. Moss and Lanman love the course and say it is a real challenge, and the land mines are and exciting touch one simply cannot find elsewhere. Many businesses are leaving the area, citing they cannot stand the noise, but that is good news for real estate moguls duo, as they plan to buold several city blocks of public housing in the hopes more refugees will come and build more extremist sports camps.","Washington (CNN)President Donald Trump posted on Twitter that all of the Homeland Security officers must go on strike immediately. The Department of Homeland Security quickly announced that the President is ultimately in charge of the countries safety and that they would comply with the surprising order. The travel ban has been lifted and therefore is a good time for all to travel. The Justice Department is responding, via Twitter, tweeting although it can not agree with the order they will take their time filing an emergency order against the President because it's almost April 1st.",Fake
Entertainment,What to expect from Carrie Fisher and Debbie Reynolds' public memorial:,"""On Friday a select few will get a chance to say farewell to Carrie Fisher and her mother Debbie Reynolds who died ten days apart early in March. The memorial will be held at the Atheist National Temple at 7 a.m. ET. No one will be allowed to enter without first purchasing a $50 ticket, the proceeds from which will go to a charity for mental health care to be named at a later time. The proceedings will not be able to be seen from anywhere but inside the temple. Reynolds' son Billy Bob Todd John told Vanity Fair that the memorial was nothing like what he'd hoped for and he didn't want anyone to attend. ""She hated her fans and hated spectacle. She would be ashamed of this display.""",Fake
Celebrity, arner Bros. FINALLY Planning ‘ Gossip Girl ’ The Movie!,"Get ready for more scheming from everybody’s favorite Upper East Siders! Gossip Girl has been off the air for five years, but it remains a hot commodity around the world,",Fake
Politics,"Ivanka Trump, the Real Vice President?","President Trump's daughter, Ivanka, has moved to Washington following her father's inauguration.  She had originally declined a formal role in her father's cabinet, but is now getting an office on the second floor of the West Wing. Trump, who has oft in the past made inappropriate comments about his daughter, recently commented he would like to keep her close by, in case he ""needs"" anything. Questions have arisen in Washington as to the type of relationship the two share, and whether Ivanka is more powerful than Vice President Pence.",Fake
Celebrity,Guy Ritchie enjoys laid-back bike ride with son Rocco amid claims ex-wife Madonna is 'close to agreeing a deal for the teen to stay in London',"Madonna and Guy Ritchie are battling for custody of son, 15, through court",Legit
Celebrity,Anderson Cooper on Kathy Griffin: 'I hope she bounces back',"Anderson Cooper has made it clear that he isn’t pleased with Kathy Griffin‘s controversial photo of Donald Trump, but the CNN anchor says he hopes his longtime friend can make a comeback after the headline-making ordeal.",Legit
Celebrity,It's Over! Jennifer Lawrence & Darren Aronofsky's Hot Fling Cools ALREADY,"Jennifer Lawrence and Darren Aronofsky are already cooling down and taking a break from their intense romance, RadarOnline.com can exclusively reveal.",Fake
Celebrity,Harry Styles Leaving One Direction Behind For Kendall Jenner?,"In December, Harry Styles left his One Direction bandmates in Paris to meet Kendall Jenner for a romantic one-night rendezvous in London. At the time it seemed like a romantic gesture, but it may have been a foreboding sign of things to come. The two stars have been getting closer and closer, and the hot and heavy relationship is reportedly taking a serious toll on 1D.",Fake
Celebrity, here  as Maks? Is There D TS Drama Afoot?,"Is there trouble on the dance floor? Maksim Chmerkovskiy was nowhere to be found on the Monday, Oct. 2 episode of Dancing  ith the Stars episode prompting Alan Bersten to dance with his celebrity partner Vanessa Lachey. The reason for Maks' absence? Personal problems, according to host Erin Andrews. ""Maks is dealing with a personal issue so Alan is stepping in and dancing with Vanessa tonight,"" she said during the show.",Fake
